Id,Label,modularity_class,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
"RITTER, DONALD","RITTER, DONALD",14,49,45,94,6,0.380973,0.400719,1539.229129,0.047414
"RITTER, DEBORAH","RITTER, DEBORAH",14,47,46,93,6,0.380949,0.400746,1584.708941,0.048868
LADY OF THE LAKE,LADY OF THE LAKE,10,38,26,64,5,0.37948,0.398226,326.170895,0.062752
"MONTOYA, MARIA","MONTOYA, MARIA",10,8,17,25,6,0.35807,0.372457,0,0.007851
"MONTOYA, JULIO","MONTOYA, JULIO",10,7,18,25,6,0.358112,0.372567,0,0.007757
PHANTOM EAGLE,PHANTOM EAGLE,10,1,4,5,6,0.345025,0.355159,0.185392,0.002029
THUMBELLINA,THUMBELLINA,4,27,52,79,6,0.388175,0.409103,252.606232,0.037711
CERANDA,CERANDA,14,31,13,44,6,0.347185,0.358526,163.220867,0.051864
"O'NEILL, DET. BRADY","O'NEILL, DET. BRADY",14,29,32,61,5,0.365823,0.382869,457.65287,0.032381
BRONA,BRONA,14,25,17,42,6,0.348614,0.360616,20.607587,0.029517
MAGNIR,MAGNIR,14,25,22,47,6,0.358891,0.373553,59.078927,0.029725
ENRAKT,ENRAKT,14,23,28,51,5,0.3728,0.390474,123.139232,0.028612
SLOTOTH,SLOTOTH,14,7,3,10,6,0.344869,0.355717,0,0.004956
GEIRRODUR,GEIRRODUR,14,36,19,55,5,0.353709,0.369055,81.371461,0.040019
ORIKAL,ORIKAL,14,37,23,60,5,0.365604,0.382131,370.2292,0.028053
TARAKIS,TARAKIS,14,28,16,44,6,0.352177,0.364997,35.161321,0.027868
CONQUEST/BRIDGET MAL,CONQUEST/BRIDGET MAL,3,28,28,56,5,0.403453,0.423635,299.125391,0.054249
BEDLAM II/OLISA KABA,BEDLAM II/OLISA KABA,3,16,33,49,5,0.404819,0.425329,134.111349,0.025462
FONTANELLE/GLORIA DA,FONTANELLE/GLORIA DA,0,35,44,79,6,0.365078,0.382574,1855.026258,0.011066
"AYALA, MRS.","AYALA, MRS.",7,15,9,24,6,0.317408,0.326693,60.57263,0.009672
"LANG, ALLISON","LANG, ALLISON",7,7,2,9,6,0.352788,0.364983,0,0.01515
"LANG, TIMMY","LANG, TIMMY",7,6,7,13,6,0.361658,0.376209,30.773201,0.01331
ECHO/MAYA LOPEZ,ECHO/MAYA LOPEZ,7,4,5,9,6,0.349013,0.360912,0,0.010193
LEAP FROG/LANG,LEAP FROG/LANG,7,0,5,5,6,0.34744,0.358896,0,0
"SHELDON, PHIL","SHELDON, PHIL",7,15,39,54,5,0.42791,0.447226,737.431925,0.038351
"RIGOLETTO, DON DANTE","RIGOLETTO, DON DANTE",7,19,18,37,6,0.367343,0.383514,180.355176,0.016822
FORTUNATO,FORTUNATO,7,39,47,86,6,0.373324,0.392231,2277.849637,0.036015
CHAMBER/JONOTHON STA,CHAMBER/JONOTHON STA,4,155,131,286,6,0.4038,0.429319,60087.456593,0.166284
EMPLATE/MARIUS ST. C,EMPLATE/MARIUS ST. C,4,73,58,131,6,0.367122,0.38605,3424.506615,0.081316
"ST. CROIX, NICOLE","ST. CROIX, NICOLE",4,41,26,67,6,0.337895,0.349842,247.702407,0.025554
PENANCE III,PENANCE III,4,56,27,83,6,0.34679,0.359761,1398.930641,0.093394
"BRAWN, TRISTAN","BRAWN, TRISTAN",4,23,26,49,6,0.354284,0.36838,156.087063,0.015795
LEGAULT,LEGAULT,4,15,19,34,6,0.335793,0.346652,26.613605,0.01032
"BRAWN, HUNTER","BRAWN, HUNTER",4,14,15,29,6,0.33163,0.342193,1.322023,0.010245
"ST. CROIX, CLAUDETTE","ST. CROIX, CLAUDETTE",4,39,29,68,6,0.341489,0.353572,4802.87025,0.02421
"ST. CROIX, CARTIER","ST. CROIX, CARTIER",4,15,16,31,6,0.331431,0.342105,46.764188,0.017278
OMEGA,OMEGA,2,14,15,29,5,0.376365,0.393939,6.317494,0.04396
